"Id","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice","cAlley","cBldgType","cBsmtCond","cBsmtExposure","cBsmtFinType1","cBsmtFinType2","cBsmtQual","cCentralAir","cCondition2","cElectrical","cExterCond","cExterQual","cFence","cFireplaceQu","cFoundation","cFunctional","cGarageCond","cGarageFinish","cGarageQual","cGarageType","cHeating","cHeatingQC","cKitchenQual","cLandContour","cLandSlope","cLotConfig","cLotShape","cMasVnrType","cMiscFeature","cMSSubClass","cMSZoning","cPavedDrive","cPoolQC","cRoofMatl","cRoofStyle","cSaleCondition","cSaleType","cStreet","cUtilities","cNeighborhood","cExterior1st","cExterior2nd","cHouseStyle","BRBR","GLARooms","GQGC","GRGR","OQEC","OQFB","OQGLA","OQTBSF","OQYB","OQYR","logSalePrice","logX1stFlrSF","logX2ndFlrSF","logX3SsnPorch","logBsmtFinSF1","logBsmtFinSF2","logBsmtUnfSF","logEnclosedPorch","logGarageArea","logGrLivArea","logLotArea","logLotFrontage","logLowQualFinSF","logMasVnrArea","logMiscVal","logOpenPorchSF","logPoolArea","logScreenPorch","logTotalBsmtSF","logWoodDeckSF"
11,20,70,11200,5,5,1965,1965,0,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1965,1,384,0,0,0,0,0,0,0,2,2,129500,0,1,3,0,2,5,3,1,0,1,3,3,0,0,0,0,3,0,3,0,1,5,3,1,1,0,1,0,0,1,3,1,0,0,1,3,3,1,1,0,1,1,1.75985,-0.693147180559945,5.34233425196481,1.38629436111989,0.526491643523895,2.77258872223978,1.79175946922805,8.55660619377307,8.55660619377307,9.19278721272859,9.19278721272859,11.7714438820996,6.94793706861497,0,0,6.81014245011514,0,4.90527477843843,0,5.95324333428778,6.94793706861497,9.32375833901174,4.26267987704132,0,0,0,0,0,0,0,0
12,60,85,11924,9,5,2005,2006,286,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,2005,3,736,147,21,0,0,0,0,0,7,4,345000,0,1,3,0,5,5,5,1,0,1,3,5,0,4,1,0,3,1,3,1,1,5,5,1,1,0,0,1,0,1,3,1,0,0,1,4,5,1,1,1,1,1,2.10051,-0.22314355131421,5.35787189730463,2.30258509299405,0.935524134778718,3.3322045101752,3.3322045101752,9.94831750445392,9.26634256209147,9.80067933255445,9.80117793371156,12.75130259456,7.07580886397839,7.04141166379481,0,6.90675477864855,0,5.18178355029209,0,6.60258789218934,7.75147531802146,9.38639231575654,4.45434729625351,0,5.65948221575962,0,3.09104245335832,0,0,0,4.99721227376411
13,20,74.88,12968,5,6,1962,1962,0,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1962,1,352,140,0,0,0,176,0,0,9,2,144000,0,1,3,0,3,5,3,1,0,1,3,3,0,0,0,0,3,0,3,0,1,3,3,1,1,0,0,0,0,1,3,1,0,0,1,3,3,1,1,0,1,1,1.75985,-0.405465108108164,5.43372200355424,1.38629436111989,0.474799711947537,2.77258872223978,1.79175946922805,8.4252971767117,8.4252971767117,9.19125948416339,9.19125948416339,11.8775755229785,6.81673588059497,0,0,6.60394382460047,0,5.17048399503815,0,5.8664680569333,6.81673588059497,9.47031717333574,4.32915314506681,0,0,0,0,0,5.17614973257383,5.17614973257383,4.94875989037817
14,20,91,10652,7,5,2006,2007,306,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,2006,3,840,160,33,0,0,0,0,0,8,3,279500,0,1,3,2,4,5,4,1,0,1,3,4,0,4,1,0,3,1,3,1,1,5,4,1,1,0,0,1,0,1,3,1,0,0,0,4,5,1,1,0,2,2,1.75985,-0.287682072451781,5.36797668257815,2.30258509299405,0.690892498444723,3.09104245335832,2.70805020110221,9.25521813075427,9.25521813075427,9.54987932996818,9.55037767476189,12.5407611493884,7.30988148582479,0,0,0,0,7.30988148582479,0,6.73459165997295,7.30988148582479,9.2735968216112,4.52178857704904,0,5.7268477475872,0,3.52636052461616,0,0,0,5.08140436498446
15,20,87.75,10920,6,5,1960,1960,212,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1960,1,352,0,213,176,0,0,0,0,5,2,157000,0,1,3,0,2,5,3,1,0,1,3,3,2,2,0,0,3,1,3,1,1,3,3,1,1,0,0,1,0,1,3,1,0,0,1,3,3,1,1,0,1,1,1.75985,0,5.52784052482629,1.38629436111989,0.606995649778619,2.94443897916644,1.94591014905531,8.92518842937803,8.92518842937803,9.37254425185104,9.37254425185104,11.9640074537369,7.13409372119287,0,0,6.59850902861452,0,6.25575004175337,5.17614973257383,5.8664680569333,7.13409372119287,9.29844282019773,4.48582342835553,0,5.36129216570943,0,5.36597601502185,0,0,0,0
16,45,51,6120,7,8,1929,2001,0,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,1991,2,576,48,112,0,0,0,0,0,7,3,132000,0,1,3,0,4,5,3,1,0,0,3,3,2,0,0,0,3,0,3,0,1,5,3,1,1,0,1,0,0,0,2,1,0,0,0,3,3,1,1,0,1,1,1.1015,-0.405465108108164,5.14633100955016,1.94591014905531,0.450467201411076,3.09104245335832,2.07944154167984,8.6960086088809,8.6699142784339,9.51074121683574,9.54738387396569,11.7905647772974,6.75110146893676,0,0,0,0,6.72503364216684,0,6.3578422665081,6.75110146893676,8.71948076085107,3.95124371858143,0,0,0,4.72738781871234,0,0,0,3.89182029811063
17,20,74.49,11241,6,7,1970,1970,180,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,1970,2,480,0,0,0,0,0,0,700,3,0,149000,0,1,3,0,3,5,3,1,0,1,3,3,0,3,0,0,3,1,3,1,1,5,3,1,1,1,0,1,0,1,3,1,0,0,0,3,3,1,1,0,1,1,1.75985,-0.405465108108164,5.30727710791951,1.94591014905531,0.512221315361174,2.94443897916644,1.94591014905531,8.70367275835886,8.70367275835886,9.37763288975038,9.37763288975038,11.9117082963145,6.91274282049318,0,0,6.361302477573,0,6.05678401322862,0,6.17586727010576,6.91274282049318,9.32741204356202,4.32400019715153,0,5.19849703126583,6.55250788703459,0,0,0,0,0
18,90,72,10791,4,5,1967,1967,0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,1967,2,516,0,0,0,0,0,0,500,10,4,90000,0,0,1,0,1,1,0,1,0,1,3,3,0,0,0,0,3,0,3,0,1,3,3,1,1,0,1,0,0,0,3,1,0,0,0,3,3,1,1,0,1,1,1.75985,0,5.37989735354046,1.94591014905531,0.622490004397993,2.56494935746154,2.19722457733622,8.55352512066363,0,8.97068626853498,8.97068626853498,11.4075760603618,7.16780918431644,0,0,0,0,0,0,6.24804287450843,7.16780918431644,9.28656039788759,4.29045944114839,0,0,6.21660610108486,0,0,0,0,0
19,20,66,13695,5,5,2004,2004,0,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2004,2,576,0,102,0,0,0,0,0,6,2,159000,0,1,3,0,5,5,3,1,0,1,3,3,0,0,1,0,3,0,3,0,1,5,4,1,1,0,1,0,0,1,3,1,0,0,0,3,3,1,1,0,2,2,1.75985,-0.287682072451781,5.22932449506109,1.94591014905531,0.555200711431535,2.77258872223978,1.79175946922805,8.62532985002082,8.62532985002082,9.21243817005833,9.21243817005833,11.9766657704908,7.01660968389422,0,0,6.4723462945009,0,6.15060276844628,0,6.3578422665081,7.01660968389422,9.52485909838152,4.20469261939097,0,0,0,4.63472898822964,0,0,0,0
20,20,70,7560,5,6,1958,1965,0,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1958,1,294,0,0,0,0,0,0,0,5,1,139000,0,1,3,0,2,5,3,1,0,1,3,3,1,0,0,1,3,0,3,1,1,3,3,1,1,0,1,0,0,1,3,1,0,0,1,2,2,1,1,0,2,1,1.75985,-0.693147180559945,5.41238982280788,1.38629436111989,0.637747942456738,2.77258872223978,1.79175946922805,8.80926561216931,8.54597499284169,9.18921887535407,9.19278721272859,11.8422364063316,7.20042489294496,0,0,6.22455842927536,0,6.26530121273771,0,5.68697535633982,7.20042489294496,8.93075873555827,4.26267987704132,0,0,0,0,0,0,0,0
21,60,101,14215,8,5,2005,2006,380,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,2005,3,853,240,154,0,0,0,0,0,11,4,325300,0,1,3,2,4,5,5,1,0,1,3,4,0,4,1,0,3,1,3,1,1,5,4,1,1,0,0,1,0,1,3,1,0,0,0,4,5,1,1,1,2,2,2.10051,0,5.57972982598622,2.30258509299405,0.949028168334469,3.2188758248682,3.2188758248682,9.85266783020615,9.13399913871946,9.68290322361684,9.68340182132116,12.6925061865422,7.05531284333975,7.10578612948127,0,0,0,7.05531284333975,0,6.74993119378857,7.77359446736019,9.56212336983449,4.62497281328427,0,5.9427993751267,0,5.04342511691925,0,0,0,5.48479693349065
22,45,57,7449,7,7,1930,1950,0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1930,1,280,0,0,205,0,0,0,0,6,3,139400,1,1,3,0,4,5,3,1,0,0,3,3,2,4,1,0,3,0,3,1,1,5,4,0,1,0,1,0,0,0,2,0,0,0,0,3,3,1,1,0,1,1,1.1015,-0.693147180559945,5.22395295125917,1.38629436111989,0.552903408852015,3.09104245335832,2.07944154167984,8.95635094049087,8.40290404501411,9.51125944745996,9.52156805800298,11.845109950884,7.01121398735037,0,0,0,0,6.45833828334479,5.32787616878958,5.63835466933375,7.01121398735037,8.9159693113736,4.06044301054642,0,0,0,0,0,0,0,0
23,20,75,9742,8,5,2002,2002,281,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2002,2,534,171,159,0,0,0,0,0,9,2,230000,0,1,3,0,4,5,4,1,0,1,3,4,0,4,1,0,3,1,3,1,1,5,4,1,1,0,1,1,0,1,3,1,0,0,1,3,3,1,1,0,2,2,1.75985,-0.287682072451781,5.55074228911297,1.94591014905531,0.786665202103092,3.2188758248682,2.83321334405622,9.57227147806062,9.5621937106357,9.6814059371683,9.6814059371683,12.345838935722,7.49331724886215,0,0,0,0,7.48324441607385,0,6.28226674689601,7.49331724886215,9.18430435742534,4.33073334028633,0,5.64190707093811,0,5.07517381523383,0,0,0,5.14749447681345
24,120,44,4224,5,7,1976,1976,0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,1976,2,572,100,110,0,0,0,0,0,6,3,129900,0,1,3,0,5,5,4,1,0,1,3,3,0,3,1,0,3,0,3,1,1,3,3,1,1,0,1,0,0,1,2,1,0,0,0,3,3,1,1,0,2,2,1.75985,-0.693147180559945,5.17990913549774,1.94591014905531,0.534332484546352,2.77258872223978,1.79175946922805,8.57565076098781,8.55660619377307,9.19836900019496,9.19836900019496,11.7745279008585,6.96696713861398,0,0,6.73459165997295,0,5.30330490805908,0,6.35088571671474,6.96696713861398,8.34877453979127,3.80666248977032,0,0,0,4.70953020131233,0,0,0,4.61512051684126
25,20,111.228,8246,5,8,1968,2001,0,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1968,1,270,406,90,0,0,0,0,0,5,0,154000,0,1,3,1,2,4,3,1,0,1,4,3,1,3,0,0,3,0,3,1,1,5,4,1,1,0,0,0,0,1,3,1,0,0,0,3,3,1,1,0,1,1,1.75985,-0.693147180559945,5.17990913549774,1.38629436111989,0.534332484546352,3.04452243772342,1.79175946922805,8.57565076098781,8.57565076098781,9.19431261089898,9.21094019204815,11.9447143748812,6.96696713861398,0,0,5.24174701505964,6.50578406012823,5.32300997913841,0,5.6021188208797,6.96696713861398,9.01760477683336,4.72053251632229,0,0,0,4.51085950651685,0,0,0,6.00881318544259
26,20,110,14230,8,5,2007,2007,640,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,2007,3,890,0,56,0,0,0,0,0,7,1,256300,0,1,3,0,4,5,4,1,0,1,3,4,0,4,1,0,3,1,3,1,1,5,4,1,1,0,1,1,0,1,3,1,0,0,0,3,3,1,1,1,2,2,1.75985,-0.287682072451781,5.4362142166822,2.30258509299405,0.725675648099063,3.2188758248682,2.83321334405622,9.45727857185611,9.43580123624555,9.68390017054968,9.68390017054968,12.4541078140223,7.37838371299671,0,0,0,0,7.35691824235602,0,6.79234442747081,7.37838371299671,9.56317796268366,4.70953020131233,0,6.46302945692067,0,4.04305126783455,0,0,0,0
27,20,60,7200,5,7,1951,2000,0,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2005,2,576,222,32,0,0,0,0,0,5,0,134800,0,1,3,1,2,3,3,1,0,1,3,3,0,0,0,0,3,0,3,0,1,3,4,1,1,0,1,0,0,1,3,1,0,0,0,3,3,1,1,0,1,1,1.75985,-0.693147180559945,5.19849703126583,1.94591014905531,0.46981374508278,2.77258872223978,1.79175946922805,8.41205487329293,8.41205487329293,9.18563775933581,9.21044036697652,11.8115548958305,6.80350525760834,0,0,5.45958551414416,6.18826412308259,5.19849703126583,0,6.3578422665081,6.80350525760834,8.88197518424887,4.11087386417331,0,0,0,3.49650756146648,0,0,0,5.40717177146012
28,20,98,11478,8,5,2007,2008,200,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008,3,772,0,50,0,0,0,0,0,5,0,306000,0,1,3,0,5,5,5,1,0,1,3,4,0,4,1,0,3,1,3,1,1,5,4,1,1,0,1,1,0,1,3,1,0,0,0,3,3,1,1,1,2,2,1.75985,-0.287682072451781,5.49892312483688,2.30258509299405,0.758665611515769,3.2188758248682,2.83321334405622,9.52024860318613,9.52024860318613,9.68390017054968,9.68439827154996,12.631343648903,7.44132038971762,0,0,7.10578612948127,0,6.18826412308259,0,6.65027904858742,7.44132038971762,9.3482745580655,4.59511985013459,0,5.30330490805908,0,3.93182563272433,0,0,0,0
29,20,47,16321,5,6,1957,1997,0,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1957,1,319,288,258,0,0,0,0,0,12,4,207500,0,1,3,3,2,5,3,1,0,1,3,3,0,4,0,0,3,1,3,1,1,3,3,1,1,1,0,0,0,1,3,1,0,0,0,3,3,1,1,0,1,1,1.75985,-0.405465108108164,5.58974242527865,1.38629436111989,0.725675648099063,2.77258872223978,1.79175946922805,8.98732181285012,8.91206909797013,9.18870807184907,9.20893939106056,12.2428914379184,7.37838371299671,0,0,7.15305163493748,0,5.33753807970132,0,5.76832099579377,7.37838371299671,9.70026917002919,3.87120101090789,0,0,0,5.55682806169954,0,0,0,5.66642668811243
30,30,60,6324,4,6,1927,1950,0,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1920,1,240,49,0,87,0,0,0,0,5,2,68500,0,1,3,0,4,5,3,0,0,1,3,3,0,0,0,0,3,0,2,0,1,2,2,1,1,0,0,0,0,0,2,1,0,0,0,3,3,1,1,0,1,1,1.75985,0,4.87519732320115,1.09861228866811,0.297502057660791,2.56494935746154,1.6094379124341,7.64060382639363,7.64060382639363,8.95014375645926,8.96200720958831,11.1346036226839,6.25575004175337,0,0,0,0,6.25575004175337,4.47733681447821,5.48479693349065,6.25575004175337,8.75226531359572,4.11087386417331,0,0,0,0,0,0,0,3.91202300542815
31,70,50,8500,4,4,1920,1950,0,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1920,1,250,0,54,172,0,0,0,0,7,2,40000,0,1,3,0,4,5,3,0,0,1,2,3,1,0,0,0,2,0,3,0,1,3,3,1,1,0,1,0,0,0,1,0,0,0,0,3,3,1,1,0,2,2,2.10051,-0.693147180559945,5.3958976948869,1.38629436111989,0.629970643547002,2.19722457733622,1.6094379124341,8.56959587020929,7.86211221166275,8.94650502599868,8.96200720958831,10.5966597327836,6.47697236288968,6.50578406012823,0,0,0,6.47697236288968,5.15329159449778,5.52545293913178,7.18387071506245,9.04793908261736,3.93182563272433,0,0,0,4.00733318523247,0,0,0,0
32,20,110.097,8544,5,6,1966,2006,0,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1966,1,271,0,65,0,0,0,0,0,6,2,149350,0,1,3,0,4,5,3,1,0,1,3,3,1,0,0,0,3,0,3,1,1,4,4,1,1,1,0,0,0,1,3,1,0,0,0,3,3,1,1,0,1,1,1.75985,-0.287682072451781,5.32625673523728,1.38629436111989,0.597875692294522,2.77258872223978,1.79175946922805,8.7227428743294,8.7227428743294,9.19329593736692,9.21343557688349,11.9140545193031,7.11395610956603,0,0,0,0,7.11395610956603,0,5.605802066296,7.11395610956603,9.05310159554969,4.71040369358073,0,0,0,4.18965474202643,0,0,0,0
33,20,85,11049,8,5,2007,2007,0,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2007,2,484,0,30,0,0,0,0,0,1,2,179900,0,1,3,2,4,5,5,1,0,1,3,4,0,0,1,0,3,1,3,1,1,5,4,1,1,0,1,0,0,1,3,1,0,0,0,3,3,1,1,0,2,2,1.75985,-0.287682072451781,5.17776263614929,1.94591014905531,0.600072079511237,3.2188758248682,2.83321334405622,9.19755903761145,9.19755903761145,9.68390017054968,9.68390017054968,12.1001619785669,7.11882624906208,0,0,0,0,7.11882624906208,0,6.18414889093748,7.11882624906208,9.3101857069459,4.45434729625351,0,0,0,3.43398720448515,0,0,0,0
34,20,70,10552,5,5,1959,1959,0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,1959,2,447,0,38,0,0,0,0,0,4,0,165500,0,1,3,0,2,5,3,1,0,1,3,3,0,4,0,0,3,1,3,1,1,4,4,1,1,0,0,0,0,1,3,1,0,0,1,3,3,1,1,0,2,2,1.75985,-0.510825623765991,5.65014725882357,1.94591014905531,0.757416688490568,2.77258872223978,1.79175946922805,9.04793908261736,8.85237888651199,9.18972941807206,9.18972941807206,12.0167325160771,7.43897159239586,0,0,6.92657703322272,0,5.9427993751267,0,6.10479323241498,7.43897159239586,9.26416545867109,4.26267987704132,0,0,0,3.66356164612965,0,0,0,0
